
Host: hartree

Timers Off: Mon Dec 23 12:30:25 2013

Wall Time:       99.00 seconds

JK: (A|mn)  :       4.13u       0.01s       4.00w      1 call
JK: (A|Q)^-1/2:      15.18u       0.06s      16.00w      1 call
JK: (Q|mn)  :      24.69u       0.04s      26.00w      1 call
Form H      :       0.00u       0.00s       0.00w      1 call
Form S/X    :       0.02u       0.00s       0.00w      1 call
Guess       :       0.31u       0.01s       0.00w      1 call
Form G      :      49.28u       0.51s      51.00w     12 calls
JK: D       :       0.00u       0.00s       0.00w     12 calls
JK: USO2AO  :       0.01u       0.00s       0.00w     12 calls
JK: JK      :      49.27u       0.51s      51.00w     12 calls
JK: J       :       0.44u       0.00s       0.00w     13 calls
JK: J1      :       0.21u       0.00s       0.00w     13 calls
JK: J2      :       0.22u       0.00s       0.00w     13 calls
JK: K       :      48.44u       0.08s      50.00w     13 calls
JK: K1      :      23.41u       0.03s      25.00w     13 calls
JK: K2      :      25.03u       0.05s      25.00w     13 calls
JK: AO2USO  :       0.00u       0.00s       0.00w     12 calls
Form F      :       0.00u       0.00s       0.00w     12 calls
DIIS        :       0.15u       0.00s       0.00w     12 calls
Form C      :       0.29u       0.02s       1.00w     12 calls
Form D      :       0.03u       0.00s       0.00w     12 calls
DIISManager::add_entry:       0.00u       0.00s       0.00w     11 calls
DIISManager::extrapolate:       0.00u       0.00s       0.00w     10 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s       0.00w     10 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s       0.00w     10 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s       0.00w     10 calls

***********************************************************

Host: hartree

Timers On : Mon Dec 23 12:53:12 2013
Timers Off: Mon Dec 23 12:54:47 2013

Wall Time:       95.00 seconds

JK: (A|mn)  :       4.16u       0.00s       4.00w      1 call
JK: (A|Q)^-1/2:      14.36u       0.03s      15.00w      1 call
JK: (Q|mn)  :      23.04u       0.01s      24.00w      1 call
